date,country_region,cases,difference
2020-01-23,Germany,0,0
2020-01-24,Germany,0,0
2020-01-25,Germany,0,0
2020-01-26,Germany,0,0
2020-01-27,Germany,1,1
2020-01-28,Germany,4,3
2020-01-29,Germany,4,0
2020-01-30,Germany,4,0
2020-01-31,Germany,5,1
2020-02-01,Germany,8,3
2020-02-02,Germany,10,2
2020-02-03,Germany,12,2
2020-02-04,Germany,12,0
2020-02-05,Germany,12,0
2020-02-06,Germany,12,0
2020-02-07,Germany,13,1
2020-02-08,Germany,13,0
2020-02-09,Germany,14,1
2020-02-10,Germany,14,0
2020-02-11,Germany,16,2
2020-02-12,Germany,16,0
2020-02-13,Germany,15,-1
2020-02-14,Germany,15,0
2020-02-15,Germany,15,0
2020-02-16,Germany,15,0
2020-02-17,Germany,15,0
2020-02-18,Germany,4,-11
2020-02-19,Germany,4,0
2020-02-20,Germany,4,0
2020-02-21,Germany,2,-2
2020-02-22,Germany,2,0
2020-02-23,Germany,2,0
2020-02-24,Germany,2,0
2020-02-25,Germany,3,1
2020-02-26,Germany,12,9
2020-02-27,Germany,30,18
2020-02-28,Germany,32,2
2020-02-29,Germany,63,31
2020-03-01,Germany,114,51
2020-03-02,Germany,143,29
2020-03-03,Germany,180,37
2020-03-04,Germany,246,66
2020-03-05,Germany,466,220
2020-03-06,Germany,653,187
2020-03-07,Germany,781,128
2020-03-08,Germany,1022,241
2020-03-09,Germany,1156,134
2020-03-10,Germany,1437,281
2020-03-11,Germany,1880,443
2020-03-12,Germany,2050,170
2020-03-13,Germany,3622,1572
2020-03-14,Germany,4530,908
2020-03-15,Germany,5738,1208
2020-03-16,Germany,7188,1450
2020-03-17,Germany,9166,1978
2020-03-18,Germany,12194,3028
2020-03-19,Germany,15163,2969
2020-03-20,Germany,19601,4438
